'time 1'	em1
3623.35	-37.097
3623.35	-36.8305
3623.35	-36.7449
3623.35	-36.7219
3623.35	-36.7515
3623.35	-36.6528
3623.35	-36.5969
3623.35	-36.4027
3623.36	-36.3237
3623.36	-36.2711
3623.36	-36.4422
3623.36	-36.587
3623.36	-36.6364
3623.36	-36.7778
3623.36	-37.0115
3623.36	-37.0477
3623.36	-36.9555
3623.36	-36.7943
3623.37	-36.6561
3623.37	-36.7351
3623.37	-36.7153
3623.37	-36.6989
3623.37	-36.8239
3623.37	-36.9522
3623.37	-36.7614
3623.37	-36.5607
3623.37	-36.7219
3623.37	-36.8371
3623.38	-36.7515
3623.38	-36.768
3623.38	-36.9029
3623.38	-36.9424
3623.38	-37.0016
3623.38	-37.1135
3623.38	-36.9226
3623.38	-36.8042
3623.38	-36.7153
3623.38	-36.6758
3623.39	-36.5837
3623.39	-36.508
3623.39	-36.5837
3623.39	-36.3566
3623.39	-36.2941
3623.39	-36.564
3623.39	-36.7811
3623.39	-36.9424
3623.39	-37.0115
3623.39	-36.9884
3623.4	-36.8469
3623.4	-37.1332
3623.4	-36.9621
3623.4	-36.9358
3623.4	-36.8108
3623.4	-36.7548
3623.4	-36.8601
3623.4	-36.9226
3623.4	-36.8634
3623.4	-36.9259
3623.41	-36.9029
3623.41	-36.6627
3623.41	-36.6791
3623.41	-36.9654
3623.41	-37.0773
3623.41	-37.0773
3623.41	-37.2254
3623.41	-37.1069
3623.41	-37.0707
3623.41	-36.9654
3623.42	-36.8108
3623.42	-36.8206
3623.42	-36.8305
3623.42	-36.6923
3623.42	-36.8108
3623.42	-36.7318
3623.42	-36.6725
3623.42	-36.4587
3623.42	-36.6758
3623.42	-36.7219
3623.43	-36.8568
3623.43	-37.0411
3623.43	-37.0608
3623.43	-37.0905
3623.43	-37.0674
3623.43	-36.972
3623.43	-36.893
3623.43	-36.7219
3623.43	-36.6956
3623.43	-36.5969
3623.44	-36.5245
3623.44	-36.5409
3623.44	-36.3139
3623.44	-36.2546
3623.44	-36.2448
3623.44	-36.4916
3623.44	-36.6824
3623.44	-36.8206
3623.44	-37.0345
3623.44	-36.9654
3623.45	-37.2385
3623.45	-37.3307
3623.45	-37.176
3623.45	-36.9852
3623.45	-36.6166
3623.45	-36.7252
3623.45	-36.8042
3623.45	-36.9259
3623.45	-36.9095
3623.45	-36.8766
3623.46	-36.7943
3623.46	-36.8437
3623.46	-36.8338
3623.46	-36.8305
3623.46	-37.0411
3623.46	-37.0839
3623.46	-37.074
3623.46	-37.1168
3623.46	-37.1727
3623.46	-36.9819
3623.47	-37.1267
3623.47	-36.9786
3623.47	-37.0279
3623.47	-36.949
3623.47	-36.9522
3623.47	-36.8897
3623.47	-36.7844
3623.47	-36.791
3623.47	-36.8338
3623.47	-36.6298
3623.48	-36.9029
3623.48	-36.8831
3623.48	-37.0477
3623.48	-37.0115
3623.48	-36.8601
3623.48	-36.9424
3623.48	-36.8371
3623.48	-36.6791
3623.48	-36.5343
3623.48	-36.4619
3623.49	-36.4323
3623.49	-36.4784
3623.49	-36.3928
3623.49	-36.1987
3623.49	-36.3632
3623.49	-36.666
3623.49	-36.8272
3623.49	-36.791
3623.49	-36.9819
3623.49	-37.0378
3623.5	-37.0477
3623.5	-37.0411
3623.5	-37.0115
3623.5	-36.9128
3623.5	-36.8371
3623.5	-36.893
3623.5	-36.8305
3623.5	-36.8535
3623.5	-36.7976
3623.5	-36.7153
3623.51	-36.4521
3623.51	-36.5047
3623.51	-36.5804
3623.51	-36.6199
3623.51	-36.6594
3623.51	-36.8239
3623.51	-36.7548
3623.51	-36.6232
3623.51	-36.7548
3623.51	-36.5771
3623.52	-36.5574
3623.52	-36.7384
3623.52	-36.9654
3623.52	-37.051
3623.52	-36.8042
3623.52	-36.5705
3623.52	-36.5771
3623.52	-36.3402
3623.52	-36.5146
3623.52	-36.587
3623.53	-36.5969
3623.53	-36.5771
3623.53	-36.7548
3623.53	-36.8404
3623.53	-36.8469
3623.53	-36.9095
3623.53	-36.7713
3623.53	-36.8272
3623.53	-36.6725
3623.53	-36.6265
3623.54	-36.5311
3623.54	-36.4587
3623.54	-36.6495
3623.54	-36.6528
3623.54	-36.6298
3623.54	-37.0312
3623.54	-37.153
3623.54	-37.1234
3623.54	-37.176
3623.54	-37.2287
3623.55	-37.2649
3623.55	-37.2484
3623.55	-37.2155
3623.55	-37.1661
3623.55	-36.893
3623.55	-36.8634
3623.55	-36.6561
3623.55	-36.7417
3623.55	-36.61
3623.55	-36.5936
3623.56	-36.564
3623.56	-36.3928
3623.56	-36.5508
3623.56	-36.6528
3623.56	-36.6561
3623.56	-36.7614
3623.56	-36.8667
3623.56	-36.8338
3623.56	-36.8305
3623.56	-36.8173
3623.57	-36.6034
3623.57	-36.6923
3623.57	-36.6693
3623.57	-36.6561
3623.57	-36.7976
3623.57	-36.791
3623.57	-36.5047
3623.57	-36.4389
3623.57	-36.485
3623.57	-36.4981
3623.58	-36.5738
3623.58	-36.5574
3623.58	-36.6989
3623.58	-36.8535
3623.58	-36.8766
3623.58	-36.814
3623.58	-36.6067
3623.58	-36.5343
3623.58	-36.7285
3623.58	-36.8108
3623.59	-36.6331
3623.59	-36.5442
3623.59	-36.587
3623.59	-36.5343
3623.59	-36.4521
3623.59	-36.7351
3623.59	-36.7811
3623.59	-36.7022
3623.59	-36.7449
3623.59	-36.8667
3623.6	-36.9687
3623.6	-36.7219
3623.6	-36.6989
3623.6	-36.6265
3623.6	-36.4422
3623.6	-36.5837
3623.6	-36.4784
3623.6	-36.429
3623.6	-36.587
3623.6	-36.5574
3623.61	-36.304
3623.61	-36.4093
3623.61	-36.5804
3623.61	-36.6956
3623.61	-36.7186
3623.61	-36.6857
3623.61	-36.8469
3623.61	-36.8338
3623.61	-36.9654
3623.61	-36.8634
3623.62	-36.7746
3623.62	-36.7647
3623.62	-36.6923
3623.62	-36.4554
3623.62	-36.4883
3623.62	-36.4751
3623.62	-36.3468
3623.62	-36.3764
3623.62	-36.6298
3623.62	-36.6594
3623.63	-36.5804
3623.63	-36.5607
3623.63	-36.6265
3623.63	-36.791
3623.63	-36.6034
3623.63	-36.7318
3623.63	-36.5672
3623.63	-36.5245
3623.63	-36.4587
3623.63	-36.2843
3623.64	-36.2579
3623.64	-36.0506
3623.64	-36.225
3623.64	-36.1822
3623.64	-36.2711
3623.64	-36.4422
3623.64	-36.4916
3623.64	-36.3534
3623.64	-36.429
3623.64	-36.5343
3623.65	-36.485
3623.65	-36.4981
3623.65	-36.3698
3623.65	-36.1099
3623.65	-35.9322
3623.65	-36.0013
3623.65	-36.0046
3623.65	-35.9947
3623.65	-35.8466
3623.65	-36.021
3623.66	-35.636
3623.66	-35.6985
3623.66	-35.9355
3623.66	-35.9684
3623.66	-36.0572
3623.66	-36.2744
3623.66	-36.4455
3623.66	-36.4554
3623.66	-36.406
3623.66	-36.1888
3623.67	-36.1691
3623.67	-36.1625
3623.67	-36.1
3623.67	-35.9387
3623.67	-35.919
3623.67	-35.8104
3623.67	-35.8269
3623.67	-35.8466
3623.67	-36.1164
3623.67	-36.0638
3623.68	-36.0144
3623.68	-36.1296
3623.68	-36.2546
3623.68	-36.2579
3623.68	-36.3172
3623.68	-36.2546
3623.68	-36.1428
3623.68	-36.1888
3623.68	-36.0802
3623.68	-36.1428
3623.69	-36.1263
3623.69	-35.9289
3623.69	-36.0144
3623.69	-35.942
3623.69	-35.9947
3623.69	-36.2645
3623.69	-36.3303
3623.69	-36.202
3623.69	-36.2843
3623.69	-36.4027
3623.7	-36.4554
3623.7	-36.4521
3623.7	-36.123
3623.7	-36.1329
3623.7	-36.0934
3623.7	-36.0243
3623.7	-35.9091
3623.7	-35.7709
3623.7	-35.8532
3623.7	-35.9684
3623.71	-35.8433
3623.71	-35.9157
3623.71	-35.7907
3623.71	-35.7611
3623.71	-35.9025
3623.71	-36.0473
3623.71	-36.0671
3623.71	-36.0243
3623.71	-36.0572
3623.71	-35.7314
3623.72	-35.6163
3623.72	-35.6327
3623.72	-35.6689
3623.72	-35.7446
3623.72	-35.8038
3623.72	-35.5439
3623.72	-35.6064
3623.72	-35.432
3623.72	-35.5932
3623.72	-35.7775
3623.73	-36.1164
3623.73	-36.0769
3623.73	-36.3303
3623.73	-36.4554
3623.73	-36.3961
