time2	zEm3
3725.64	-46.6661
3725.64	-46.5641
3725.64	-46.3535
3725.64	-46.3667
3725.64	-46.314
3725.64	-46.3436
3725.65	-46.4325
3725.65	-46.3864
3725.65	-46.166
3725.65	-46.1133
3725.65	-46.1561
3725.65	-46.3535
3725.65	-46.4917
3725.65	-46.6168
3725.65	-46.597
3725.65	-46.7319
3725.66	-46.7879
3725.66	-46.7912
3725.66	-46.5213
3725.66	-46.5213
3725.66	-46.5115
3725.66	-46.3436
3725.66	-46.3733
3725.66	-46.6365
3725.66	-46.755
3725.66	-46.5872
3725.67	-46.4226
3725.67	-46.4621
3725.67	-46.6661
3725.67	-46.7319
3725.67	-46.8405
3725.67	-46.857
3725.67	-46.9557
3725.67	-46.9195
3725.67	-47.0281
3725.67	-46.8339
3725.68	-46.7714
3725.68	-46.5773
3725.68	-46.6135
3725.68	-46.5016
3725.68	-46.5115
3725.68	-46.3798
3725.68	-46.3667
3725.68	-46.0146
3725.68	-46.3042
3725.68	-46.268
3725.69	-46.2745
3725.69	-46.5246
3725.69	-46.699
3725.69	-46.7418
3725.69	-46.9327
3725.69	-47.061
3725.69	-46.7319
3725.69	-46.8998
3725.69	-46.8208
3725.69	-46.6793
3725.7	-46.495
3725.7	-46.4457
3725.7	-46.574
3725.7	-46.5345
3725.7	-46.6859
3725.7	-46.778
3725.7	-46.8372
3725.7	-46.7484
3725.7	-46.9458
3725.7	-47.14
3725.71	-47.1104
3725.71	-47.3078
3725.71	-47.2058
3725.71	-47.1202
3725.71	-47.038
3725.71	-47.0248
3725.71	-47.0347
3725.71	-46.9557
3725.71	-46.8965
3725.71	-46.8109
3725.72	-46.6332
3725.72	-46.5904
3725.72	-46.7089
3725.72	-46.7023
3725.72	-46.857
3725.72	-47.0149
3725.72	-47.1531
3725.72	-47.3703
3725.72	-47.4625
3725.72	-47.4197
3725.73	-47.3111
3725.73	-47.2881
3725.73	-47.1531
3725.73	-47.2222
3725.73	-47.2288
3725.73	-47.2091
3725.73	-47.0478
3725.73	-46.9557
3725.73	-47.265
3725.73	-47.3243
3725.74	-47.4789
3725.74	-47.4625
3725.74	-47.3012
3725.74	-47.1926
3725.74	-47.2584
3725.74	-47.3539
3725.74	-47.0149
3725.74	-47.1104
3725.74	-46.9886
3725.74	-47.0676
3725.75	-47.1137
3725.75	-47.0807
3725.75	-47.0742
3725.75	-46.9557
3725.75	-47.0051
3725.75	-47.0281
3725.75	-47.1795
3725.75	-47.3572
3725.75	-47.4789
3725.75	-47.6599
3725.76	-47.7191
3725.76	-47.706
3725.76	-47.6665
3725.76	-47.525
3725.76	-47.367
3725.76	-47.3473
3725.76	-47.3012
3725.76	-47.2551
3725.76	-47.1104
3725.76	-47.061
3725.77	-46.9294
3725.77	-47.0972
3725.77	-47.0873
3725.77	-47.186
3725.77	-47.2058
3725.77	-47.3703
3725.77	-47.2848
3725.77	-47.084
3725.77	-47.1531
3725.77	-47.2025
3725.78	-47.0248
3725.78	-46.9162
3725.78	-46.7681
3725.78	-46.8438
3725.78	-47.0347
3725.78	-47.0314
3725.78	-47.0445
3725.78	-46.9392
3725.78	-47.0018
3725.78	-47.1795
3725.79	-47.3473
3725.79	-47.3341
3725.79	-47.4493
3725.79	-47.3473
3725.79	-47.3144
3725.79	-47.344
3725.79	-47.219
3725.79	-47.1038
3725.79	-46.9162
3725.79	-46.8471
3725.8	-46.7945
3725.8	-46.9063
3725.8	-46.8932
3725.8	-46.8767
3725.8	-46.8142
3725.8	-47.0116
3725.8	-47.1235
3725.8	-47.344
3725.8	-47.1893
3725.8	-47.2058
3725.81	-47.2255
3725.81	-47.2255
3725.81	-47.1268
3725.81	-47.0413
3725.81	-46.8669
3725.81	-47.1828
3725.81	-47.1795
3725.81	-47.242
3725.81	-47.1498
3725.81	-47.1531
3725.82	-47.0018
3725.82	-46.9294
3725.82	-46.9031
3725.82	-46.8932
3725.82	-46.8636
3725.82	-46.9392
3725.82	-47.0643
3725.82	-47.0281
3725.82	-47.0742
3725.82	-46.9491
3725.83	-46.8208
3725.83	-46.8701
3725.83	-46.7385
3725.83	-46.8274
3725.83	-46.7681
3725.83	-46.7978
3725.83	-46.7648
3725.83	-46.5378
3725.83	-46.7912
3725.83	-46.8833
3725.84	-46.9524
3725.84	-47.2354
3725.84	-47.5019
3725.84	-47.5941
3725.84	-47.6665
3725.84	-47.627
3725.84	-47.5052
3725.84	-47.3736
3725.84	-47.423
3725.84	-47.3341
3725.85	-47.0676
3725.85	-47.1926
3725.85	-47.3144
3725.85	-47.3901
3725.85	-47.163
3725.85	-47.1828
3725.85	-47.4526
3725.85	-47.5184
3725.85	-47.525
3725.85	-47.6303
3725.86	-47.6731
3725.86	-47.6599
3725.86	-47.5743
3725.86	-47.3934
3725.86	-47.2387
3725.86	-47.2025
3725.86	-47.1762
3725.86	-47.2222
3725.86	-47.265
3725.86	-47.3308
3725.87	-47.0478
3725.87	-47.2091
3725.87	-47.1795
3725.87	-47.2453
3725.87	-47.3901
3725.87	-47.6402
3725.87	-47.6105
3725.87	-47.6928
3725.87	-47.6895
3725.87	-47.4789
3725.88	-47.3901
3725.88	-47.3473
3725.88	-47.1696
3725.88	-47.0511
3725.88	-47.163
3725.88	-47.2255
3725.88	-47.0676
3725.88	-46.8899
3725.88	-47.0413
3725.88	-47.265
3725.89	-47.4032
3725.89	-47.4032
3725.89	-47.6105
3725.89	-47.5678
3725.89	-47.6105
3725.89	-47.7685
3725.89	-47.5941
3725.89	-47.5776
3725.89	-47.5645
3725.89	-47.321
3725.9	-47.1564
3725.9	-47.1202
3725.9	-47.1762
3725.9	-46.936
3725.9	-46.6365
3725.9	-46.5937
3725.9	-46.7418
3725.9	-46.8076
3725.9	-46.7912
3725.9	-46.7681
3725.91	-46.8043
3725.91	-47.0084
3725.91	-46.9623
3725.91	-46.8339
3725.91	-46.8109
3725.91	-46.7352
3725.91	-46.8405
3725.91	-46.8372
3725.91	-46.6957
3725.91	-46.6266
3725.92	-46.6201
3725.92	-46.8076
3725.92	-46.778
3725.92	-46.9129
3725.92	-47.0116
3725.92	-47.0742
3725.92	-47.3308
3725.92	-47.2255
3725.92	-47.4164
3725.92	-47.2124
3725.93	-47.2683
3725.93	-47.186
3725.93	-47.0314
3725.93	-47.0511
3725.93	-47.0018
3725.93	-46.8998
3725.93	-47.0116
3725.93	-46.9031
3725.93	-47.0215
3725.93	-47.1169
3725.94	-47.2387
3725.94	-47.3111
3725.94	-47.3275
3725.94	-47.3966
3725.94	-47.4263
3725.94	-47.3835
3725.94	-47.2519
3725.94	-47.1268
3725.94	-46.9623
3725.94	-47.0676
3725.95	-47.0413
3725.95	-46.9985
3725.95	-47.2124
3725.95	-46.9787
3725.95	-46.9952
3725.95	-47.1169
3725.95	-47.2716
3725.95	-47.2124
3725.95	-47.3539
3725.95	-47.3308
3725.96	-47.4328
3725.96	-47.4921
3725.96	-47.2782
3725.96	-47.0873
3725.96	-47.0709
3725.96	-46.959
3725.96	-46.857
3725.96	-46.8504
3725.96	-46.9162
3725.96	-46.8932
3725.97	-46.5872
3725.97	-46.8767
3725.97	-46.9162
3725.97	-47.0018
3725.97	-47.0939
3725.97	-47.186
3725.97	-47.1466
3725.97	-47.242
3725.97	-47.3308
3725.97	-47.186
3725.98	-47.1696
3725.98	-47.2913
3725.98	-47.0939
3725.98	-47.0577
3725.98	-47.0149
3725.98	-47.0149
3725.98	-47.0149
3725.98	-46.9985
3725.98	-47.3308
3725.98	-47.4921
3725.99	-47.5184
3725.99	-47.4954
3725.99	-47.65
3725.99	-47.7323
3725.99	-47.6533
3725.99	-47.6796
3725.99	-47.3604
3725.99	-47.3506
3725.99	-47.1531
3725.99	-47.1893
3726	-47.3407
3726	-47.3144
3726	-47.4657
3726	-47.2749
3726	-47.2124
3726	-47.2716
3726	-47.2222
3726	-47.2157
3726	-47.3308
3726	-47.4098
3726.01	-47.3901
3726.01	-47.4657
3726.01	-47.2716
3726.01	-46.982
3726.01	-47.061
3726.01	-47.186
3726.01	-47.0676
3726.01	-47.1762
3726.01	-47.1268
3726.01	-47.219
3726.02	-47.0972
3726.02	-47.1301
3726.02	-47.1202
3726.02	-47.1334
3726.02	-47.1268
3726.02	-47.1433
3726.02	-47.3243
3726.02	-47.0775
3726.02	-47.4493
3726.02	-47.2716
3726.03	-47.1729
3726.03	-47.1564
3726.03	-47.0413
3726.03	-47.1466
3726.03	-47.0939
3726.03	-46.9294
3726.03	-46.7681
3726.03	-46.7155
3726.03	-46.8274
3726.03	-46.9458
3726.04	-47.2321
3726.04	-47.1893
3726.04	-47.3012
3726.04	-47.4065
3726.04	-47.4723
3726.04	-47.548
3726.04	-47.4328
3726.04	-47.3769
3726.04	-47.3078
3726.04	-47.4065
3726.05	-47.3966
3726.05	-47.3604
3726.05	-47.3243
3726.05	-47.2453
3726.05	-47.1466
3726.05	-47.2519
3726.05	-47.4625
3726.05	-47.5349
3726.05	-47.548
3726.05	-47.6303
3726.06	-47.6994
3726.06	-47.7816
3726.06	-47.752
3726.06	-47.5316
3726.06	-47.6369
3726.06	-47.6698
3726.06	-47.571
3726.06	-47.5217
3726.06	-47.4361
3726.06	-47.2913
3726.07	-47.1663
3726.07	-47.1795
3726.07	-47.2387
3726.07	-47.3769
3726.07	-47.3802
3726.07	-47.4559
3726.07	-47.3966
3726.07	-47.3934
3726.07	-47.6336
3726.07	-47.5019
3726.08	-47.3374
3726.08	-47.1729
3726.08	-47.1729
3726.08	-46.9689
3726.08	-47.1795
3726.08	-47.1696
3726.08	-46.9261
3726.08	-46.8043
3726.08	-47.0873
3726.08	-47.1268
3726.09	-47.2321
3726.09	-47.3111
3726.09	-47.5612
3726.09	-47.5085
3726.09	-47.4822
3726.09	-47.548
3726.09	-47.2683
3726.09	-47.2058
3726.09	-47.1301
3726.09	-47.1926
3726.1	-47.1795
3726.1	-47.0742
3726.1	-47.1564
3726.1	-47.0314
3726.1	-46.9096
3726.1	-47.1498
3726.1	-47.3703
3726.1	-47.4098
3726.1	-47.4822
3726.1	-47.571
3726.11	-47.5678
3726.11	-47.5447
3726.11	-47.219
3726.11	-47.1564
3726.11	-46.9722
3726.11	-46.9425
3726.11	-46.9195
3726.11	-47.3012
3726.11	-47.0018
3726.11	-47.0084
3726.12	-46.8833
3726.12	-46.8998
3726.12	-46.9656
3726.12	-47.0939
3726.12	-47.2782
3726.12	-47.4032
3726.12	-47.4921
3726.12	-47.5151
3726.12	-47.4987
3726.12	-47.4032
3726.13	-47.2617
3726.13	-47.2683
3726.13	-47.2584
3726.13	-47.1466
3726.13	-47.0972
3726.13	-46.8767
3726.13	-46.9195
3726.13	-46.8998
3726.13	-47.2288
3726.13	-47.4559
3726.14	-47.548
3726.14	-47.5283
3726.14	-47.8639
3726.14	-48.0284
3726.14	-47.8738
3726.14	-47.9363
3726.14	-47.9067
3726.14	-47.8804
3726.14	-47.8409
3726.14	-47.8442
3726.15	-47.933
3726.15	-47.7652
3726.15	-47.7981
3726.15	-47.7027
3726.15	-47.7685
3726.15	-47.9495
3726.15	-48.0515
3726.15	-48.0252
3726.15	-48.1469
3726.15	-48.0778
3726.16	-47.9429
3726.16	-47.9626
3726.16	-47.9264
3726.16	-47.9824
3726.16	-47.9626
3726.16	-47.752
3726.16	-47.6829
3726.16	-47.6533
3726.16	-47.5546
3726.16	-47.5414
3726.17	-47.6434
3726.17	-47.706
3726.17	-47.752
3726.17	-47.9231
3726.17	-47.9725
3726.17	-47.9626
3726.17	-47.8968
3726.17	-47.9199
3726.17	-47.8178
3726.17	-47.6796
3726.18	-47.4559
3726.18	-47.5645
3726.18	-47.5217
3726.18	-47.5809
3726.18	-47.6336
3726.18	-47.5842
3726.18	-47.3835
3726.18	-47.1762
3726.18	-47.525
3726.18	-47.6369
3726.19	-47.6072
3726.19	-47.706
3726.19	-48.0219
3726.19	-48.0416
3726.19	-48.0975
3726.19	-48.1337
3726.19	-47.8146
3726.19	-47.6731
3726.19	-47.7027
3726.19	-47.7553
3726.2	-47.6402
3726.2	-47.571
3726.2	-47.4756
3726.2	-47.5085
3726.2	-47.6303
3726.2	-47.6961
3726.2	-47.8672
3726.2	-47.7849
3726.2	-48.0021
3726.2	-47.9067
3726.21	-48.0252
3726.21	-47.9857
3726.21	-47.8639
3726.21	-47.5809
3726.21	-47.5052
3726.21	-47.5678
3726.21	-47.5217
3726.21	-47.6303
3726.21	-47.5184
3726.21	-47.6007
3726.22	-47.5381
3726.22	-47.5974
3726.22	-47.752
3726.22	-47.8376
3726.22	-47.9363
3726.22	-48.0712
3726.22	-48.1732
3726.22	-48.2325
3726.22	-48.5023
3726.22	-48.2785
3726.23	-48.1897
3726.23	-48.1732
3726.23	-48.0416
3726.23	-47.9626
3726.23	-47.8475
3726.23	-47.6862
3726.23	-47.5085
3726.23	-47.3374
3726.23	-47.6072
3726.23	-47.7882
3726.24	-47.9166
3726.24	-48.0712
3726.24	-48.1996
3726.24	-48.1996
3726.24	-48.2489
3726.24	-48.0581
3726.24	-47.9067
3726.24	-47.7981
3726.24	-47.8804
3726.24	-48.0219
3726.25	-47.9133
3726.25	-47.9067
3726.25	-48.0252
3726.25	-47.5842
3726.25	-47.5579
3726.25	-47.8606
3726.25	-48.0186
3726.25	-48.1239
3726.25	-48.1798
3726.25	-48.2917
3726.26	-48.2818
3726.26	-48.1634
3726.26	-47.8771
3726.26	-47.6303
3726.26	-47.5875
3726.26	-47.4723
3726.26	-47.6007
3726.26	-47.5118
3726.26	-47.5283
3726.26	-47.7718
3726.27	-47.5414
3726.27	-47.8672
3726.27	-47.8113
3726.27	-47.9495
3726.27	-48.0614
3726.27	-48.1666
3726.27	-48.1963
3726.27	-48.2325
3726.27	-48.3871
3726.27	-47.9001
3726.28	-47.9857
3726.28	-48.0219
3726.28	-47.9429
3726.28	-47.9462
3726.28	-47.8014
3726.28	-47.933
3726.28	-47.7915
3726.28	-47.6303
3726.28	-47.8047
3726.28	-47.9725
3726.29	-48.1305
3726.29	-48.1864
3726.29	-48.4102
3726.29	-48.4727
3726.29	-48.3213
3726.29	-48.2555
3726.29	-48.0943
3726.29	-47.9297
3726.29	-47.8705
3726.29	-47.7191
3726.3	-47.7948
3726.3	-47.65
3726.3	-47.9067
3726.3	-47.8376
3726.3	-47.8475
3726.3	-47.9692
3726.3	-47.9791
3726.3	-48.0087
3726.3	-48.2522
3726.3	-48.4365
3726.31	-48.3608
3726.31	-48.5155
3726.31	-48.2983
3726.31	-48.137
3726.31	-48.1601
3726.31	-48.1732
3726.31	-48.0219
3726.31	-48.0252
3726.31	-47.9396
3726.31	-48.0186
3726.32	-47.9593
3726.32	-48.0811
3726.32	-48.0482
3726.32	-48.035
3726.32	-48.0548
3726.32	-48.137
3726.32	-48.2358
3726.32	-48.2094
3726.32	-48.4299
3726.32	-48.1305
3726.33	-48.1239
3726.33	-48.2193
3726.33	-48.2588
3726.33	-48.091
3726.33	-48.1502
3726.33	-48.1996
3726.33	-48.2028
3726.33	-48.2127
3726.33	-48.499
3726.33	-48.5155
3726.34	-48.6339
3726.34	-48.8083
3726.34	-48.9432
3726.34	-48.9564
3726.34	-49.1242
3726.34	-49.1769
3726.34	-48.8182
3726.34	-48.7425
3726.34	-48.8346
3726.34	-48.7228
3726.35	-48.8017
3726.35	-48.7326
3726.35	-48.5944
3726.35	-48.6076
3726.35	-48.6043
3726.35	-48.6602
3726.35	-48.7096
3726.35	-48.8314
3726.35	-49.0354
3726.35	-49.1308
3726.36	-49.1143
3726.36	-49.1308
3726.36	-48.9005
3726.36	-48.4891
3726.36	-48.3509
3726.36	-48.4398
3726.36	-48.4891
3726.36	-48.4233
3726.36	-48.397
3726.36	-48.4365
3726.37	-48.374
3726.37	-48.5155
3726.37	-48.4299
3726.37	-48.5385
3726.37	-48.6537
3726.37	-48.6142
3726.37	-48.7524
3726.37	-48.6635
3726.37	-48.8149
3726.37	-48.4694
3726.38	-48.2193
3726.38	-48.3016
3726.38	-48.2259
3726.38	-48.1074
3726.38	-48.091
3726.38	-47.9659
3726.38	-47.8639
3726.38	-47.9166
3726.38	-48.2621
3726.38	-48.2456
3726.39	-48.3279
3726.39	-48.476
3726.39	-48.4858
3726.39	-48.5878
3726.39	-48.6076
3726.39	-48.4694
3726.39	-48.3707
3726.39	-48.476
3726.39	-48.42
3726.39	-48.374
3726.4	-48.4069
3726.4	-48.2983
3726.4	-48.3246
3726.4	-48.2851
3726.4	-48.4793
3726.4	-48.6306
3726.4	-48.601
3726.4	-48.3476
3726.4	-48.2325
3726.4	-48.4398
3726.41	-48.5944
3726.41	-48.6504
3726.41	-48.5813
3726.41	-48.4036
3726.41	-48.295
3726.41	-48.216
3726.41	-48.0975
3726.41	-48.0087
3726.41	-48.0219
3726.41	-48.0317
3726.42	-47.7685
3726.42	-48.0712
3726.42	-48.1963
3726.42	-48.1996
3726.42	-48.2654
3726.42	-48.5451
3726.42	-48.6175
3726.42	-48.5319
3726.42	-48.6438
3726.42	-48.3772
3726.43	-48.2456
3726.43	-48.0383
3726.43	-48.0219
3726.43	-48.193
3726.43	-48.1074
3726.43	-47.8442
3726.43	-47.7323
3726.43	-47.4987
3726.43	-47.706
3726.43	-47.8573
3726.44	-47.8409
3726.44	-47.8047
3726.44	-47.9561
3726.44	-48.137
3726.44	-48.2719
3726.44	-48.3312
3726.44	-48.1601
3726.44	-48.0745
3726.44	-48.0449
3726.44	-48.0252
3726.45	-48.0383
3726.45	-48.1535
3726.45	-48.0581
3726.45	-47.8804
3726.45	-47.8672
3726.45	-48.0153
3726.45	-48.1272
3726.45	-48.3443
3726.45	-48.318
3726.45	-48.4562
3726.46	-48.5023
3726.46	-48.5155
3726.46	-48.1732
3726.46	-48.1601
3726.46	-48.1403
3726.46	-48.0745
3726.46	-48.0745
3726.46	-47.8508
3726.46	-47.8771
3726.46	-47.8639
3726.47	-47.571
3726.47	-47.706
3726.47	-47.854
3726.47	-47.9593
3726.47	-48.0679
3726.47	-48.3049
3726.47	-48.4332
3726.47	-48.5517
3726.47	-48.6175
3726.47	-48.4825
3726.48	-48.2785
3726.48	-48.4628
3726.48	-48.3871
3726.48	-48.4167
3726.48	-48.2588
3726.48	-48.2621
3726.48	-48.1601
3726.48	-48.0975
3726.48	-48.1173
